Detector Type, #keypoints, Detection Time (ms)
FAST,1787,1.322316
FAST,1787,1.687830
FAST,1787,1.317311
FAST,1787,1.486001
BRISK,2711,42.154976
BRISK,2711,42.445332
BRISK,2711,42.678291
BRISK,2711,42.408791
ORB,500,12.860779
ORB,500,12.454985
ORB,500,14.715174
ORB,500,17.332539
AKAZE,1342,126.110939
AKAZE,1342,124.460045
AKAZE,1342,124.711548
AKAZE,1342,126.367142
SIFT,1386,182.066696
SIFT,1386,185.036835
SIFT,1386,185.799042
SIFT,143,18.412748
HARRIS,663,270.343445
HARRIS,663,275.055115
HARRIS,663,270.707825
HARRIS,663,272.673767
