Detector Type, Descriptor Type, averageKeypointsDetectors, averageKeypointsDescriptors, averageMatches, averageDetectorsDetectionTime (ms), averageTotalDetectionTime (ms)
FAST,BRISK,1787,149,85,1.578101,3.170276
FAST,FREAK,1787,149,85,1.333913,48.922585
FAST,BRIEF,1787,149,108,1.275400,2.473494
FAST,ORB,1787,149,106,1.519690,2.974102
BRISK,BRISK,2711,276,149,42.416412,41.046219
BRISK,FREAK,2711,276,149,42.672421,91.164162
BRISK,BRIEF,2711,276,165,41.952515,39.756882
BRISK,ORB,2711,276,145,41.442345,44.023823
ORB,BRISK,500,116,71,10.686214,10.752444
ORB,FREAK,500,116,41,11.770408,57.105244
ORB,BRIEF,500,116,52,14.317798,14.212590
ORB,ORB,500,116,74,12.930232,18.762194
AKAZE,BRISK,1342,167,119,126.155441,116.111893
AKAZE,FREAK,1342,167,117,128.798126,164.283279
AKAZE,BRIEF,1342,167,126,134.101334,121.963852
AKAZE,ORB,1342,167,116,133.198196,128.930298
SIFT,BRISK,1386,138,56,190.819412,172.562576
SIFT,FREAK,1386,138,57,191.340317,217.127975
SIFT,BRIEF,1386,138,69,190.052444,171.166779
SIFT,ORB,143,0,0,20.585732,0.000000
HARRIS,BRISK,663,75,40,311.488617,283.999084
HARRIS,FREAK,663,75,38,277.627625,294.258301
HARRIS,BRIEF,663,75,51,274.981628,247.578125
HARRIS,ORB,663,75,50,278.188019,256.756744
